City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,rujewa,-8.7,34.3833,293.86,77,70,2.85,TZ,1699931296
291,narvik,68.4384,17.4272,258.82,54,0,2.97,NO,1699931296
292,broome,42.2506,-75.833,277.92,77,75,3.09,US,1699931296
293,luchegorsk,46.4764,134.2569,267.9,78,8,3.2,RU,1699931296
294,sisophon,13.5859,102.9737,300.89,80,82,3.64,KH,1699931297
295,bogale,16.2833,95.4,302.12,76,96,3.97,MM,1699931295
296,westport,41.1415,-73.3579,279.83,77,0,0.89,US,1699931123
297,arboletes,8.8505,-76.4269,300.1,87,100,2.06,CO,1699931297
298,aasiaat,68.7098,-52.8699,262.16,81,100,1.21,GL,1699931196
299,happy valley-goose bay,53.3168,-60.3315,268.32,68,75,4.63,CA,1699931199
300,vilyuchinsk,52.9306,158.4028,270.89,70,100,2.62,RU,1699931225
301,aleksandrovsk-sakhalinskiy,50.8975,142.1561,268.46,75,100,6.05,RU,1699931298
302,pajok,3.8651,32.4821,292.92,93,82,0.97,SS,1699931298
303,belyy yar,53.6039,91.3903,276.09,75,0,7.0,RU,1699931298
304,boguchar,49.9358,40.545,278.1,80,100,2.1,RU,1699931298
305,al burayqah,30.4062,19.5739,295.22,62,0,6.21,LY,1699931299
306,starobaltachevo,56.0013,55.9213,277.75,92,100,8.88,RU,1699931299
307,zouerate,22.7187,-12.4521,296.32,18,12,4.76,MR,1699931299
308,susuman,62.7833,148.1667,244.82,98,76,0.53,RU,1699931299
309,amahai,-3.3333,128.9167,302.91,68,56,3.18,ID,1699931299
310,goba,7.0167,39.9833,283.52,96,90,0.88,ET,1699931300
311,dakhla,23.6848,-15.958,295.01,54,83,4.46,EH,1699931300
312,villa del totoral,-30.8167,-63.7167,288.85,63,0,3.6,AR,1699931300
313,suva,-18.1416,178.4415,299.86,89,75,5.66,FJ,1699931300
314,anzio,41.4853,12.6179,291.54,88,73,3.66,IT,1699931301
315,escanaba,45.7453,-87.0646,274.32,100,0,1.54,US,1699931150
316,mossel bay,-34.1831,22.146,288.41,84,7,7.52,ZA,1699931301
317,luebo,-5.35,21.4167,293.39,98,99,1.23,CD,1699931301
318,bandar abbas,27.1865,56.2808,289.14,63,0,2.06,IR,1699931301
319,ardakan,32.31,54.0175,288.68,31,100,0.84,IR,1699931302
320,sheregesh,52.9209,87.9869,273.68,98,100,3.02,RU,1699931302
321,ceadir-lunga,46.055,28.8303,277.68,57,13,3.65,MD,1699931302
322,susangerd,31.5608,48.1831,294.31,38,19,0.57,IR,1699931303
323,sarpol-e zahab,34.4611,45.8626,291.85,37,0,2.88,IR,1699931147
324,pacific grove,36.6177,-121.9166,286.3,84,0,2.24,US,1699931150
325,nacala,-14.5428,40.6728,297.27,91,98,2.48,MZ,1699931303
326,nepalgunj,28.05,81.6167,294.78,54,100,0.59,NP,1699931303
327,gaiman,-43.2897,-65.4929,284.85,27,33,14.37,AR,1699931304
328,sisimiut,66.9395,-53.6735,263.68,73,100,3.68,GL,1699931169
329,vila velha,-20.3297,-40.2925,299.12,87,0,6.17,BR,1699931304
330,belmonte,-15.8631,-38.8828,297.69,82,5,4.55,BR,1699931304
331,mil'kovo,55.6078,37.7956,277.27,94,100,5.45,RU,1699931305
332,mazagao,-0.115,-51.2894,301.18,82,100,1.96,BR,1699931205
333,alvaraes,-3.2208,-64.8042,299.51,74,88,0.78,BR,1699931305
334,tlaltenango de sanchez roman,21.7833,-103.3167,293.71,56,73,0.97,MX,1699931305
335,nueva gerona,21.8833,-82.8,299.26,76,94,7.84,CU,1699931305
336,abepura,-2.6333,140.5833,304.6,62,20,2.06,ID,1699931306
337,cabaiguan,22.0789,-79.4992,295.83,95,18,3.27,CU,1699931306
338,kruisfontein,-34.0033,24.7314,284.38,91,47,2.51,ZA,1699931249
339,kavali,14.9167,79.9833,300.76,68,100,5.34,IN,1699931306
340,griffith,41.5284,-87.4237,283.44,49,0,0.0,US,1699931307
341,petukhovo,55.0692,67.9019,276.71,87,100,7.46,RU,1699931307
342,polyarnyy,69.1989,33.4478,264.17,97,94,1.07,RU,1699931159
343,sao jose da coroa grande,-8.8978,-35.1478,298.13,85,98,2.78,BR,1699931307
344,kati,12.7441,-8.0726,292.82,15,3,1.4,ML,1699931307
345,shangzhi,45.2167,127.9667,268.71,86,14,2.51,CN,1699931308
346,smithers,54.7804,-127.1743,273.6,84,84,1.4,CA,1699931308
347,sidi okba,34.7451,5.8983,289.82,50,0,0.65,DZ,1699931308
348,koh kong,11.6175,102.9806,303.37,61,77,2.59,KH,1699931308
349,antsiranana,-12.2787,49.2917,297.67,82,68,2.99,MG,1699931259
350,geraldton,-28.7667,114.6,298.38,65,40,4.63,AU,1699931309
351,anna regina,7.2644,-58.5077,299.66,85,7,3.58,GY,1699931309
352,kinablangan,7.6947,126.5503,302.77,68,47,2.72,PH,1699931309
353,sokur,55.2093,83.319,272.35,85,95,2.99,RU,1699931309
354,newman,37.3138,-121.0208,289.42,68,50,1.34,US,1699931309
355,yugorsk,61.3133,63.3319,269.76,96,100,4.22,RU,1699931310
356,freetown,8.484,-13.2299,299.35,88,10,1.99,SL,1699931310
357,port saint john's,-31.6229,29.5448,289.56,75,99,2.07,ZA,1699931310
358,simplicio mendes,-7.8539,-41.9103,298.96,28,0,1.29,BR,1699931052
359,atar,20.5169,-13.0499,298.66,13,3,4.8,MR,1699931311
360,basco,20.4487,121.9702,298.84,70,64,10.42,PH,1699931311
361,vila franca do campo,37.7167,-25.4333,290.38,99,83,2.6,PT,1699931311
